quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_a1949e66c1e4ad17,nr_6a6a41868d1d1d94,ep_13e62e515db199ac,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_67d0f3ff1f1befd7,nr_6da0eba25c96dac2,ep_2fc39e4a97f50583,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a9d9a65571b2bbb4,nr_611f98f3507fa87b,ep_0c5e8b6eccc60ed1,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_5d095c80ce285bc2,nr_c4979723a9a3b6b7,ep_614db2202764bf26,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a4433983eba8ec9f,nr_3074dad7140aae8b,ep_7cc2128d1b047465,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_431338a519010080,nr_3074dad7140aae8b,ep_7cc2128d1b047465,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8d3cb9399be8c4d8,nr_e4f09f8c741f5e48,ep_35992bc450c136ac,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f606ae28494547eb,nr_095d7a0ac4f8da0d,ep_33d5a984b6152fd4,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_43643dbd03a170f9,nr_54a038ed67b04016,ep_3a7627c45281e523,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8662ec45bbbf5133,nr_32bdfe9165858d03,ep_d741b27f0e5f510c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d93dc977310eb7da,nr_bb187c477d70582e,ep_28f68d759536bc4a,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_2cd7ab43478e4409,nr_16ea6e3bcad281f7,ep_44440ba4c4620be4,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_dbe54787f16068b4,nr_5d8f4574564266d5,ep_82e8724ba75d5de5,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
